class_name,attributes,generated_sentence,actual_sentence,equality,contradiction,inclusion,answer,generated_description,actual_description
course,code course,a course has a code course,"A course has the course's name, the course's code, the start time, the end time, the days of the courses, the room, and the instructors.",FALSE,FALSE,TRUE,correct,,
course,end time,a course has an end time,"A course has the course's name, the course's code, the start time, the end time, the days of the courses, the room, and the instructors.",FALSE,FALSE,TRUE,correct,,
course,name,a course has a name,"A course has the course's name, the course's code, the start time, the end time, the days of the courses, the room, and the instructors.",FALSE,FALSE,TRUE,correct,,
course,quota limit,a course has a quota limit,"In addition, instructors can increase and decrease the course quota limit and change weekly course hours and course days.",FALSE,FALSE,TRUE,correct,,
course,start time,a course has a start time,"A course has the course's name, the course's code, the start time, the end time, the days of the courses, the room, and the instructors.",FALSE,FALSE,TRUE,correct,,
instructor,name,an instructor has a name,"A course has the course's name, the course's code, the start time, the end time, the days of the courses, the room, and the instructors.",FALSE,FALSE,TRUE,correct,,
instructor,specialty,an instructor has a specialty,Instructors lecture and mentor the students depending on their specialties.,FALSE,FALSE,TRUE,correct,,
instructor,surname,an instructor has a surname,"A course has the course's name, the course's code, the start time, the end time, the days of the courses, the room, and the instructors.",FALSE,FALSE,TRUE,correct,,
instructor,title,an instructor has a title,"The instructor has a name, surname, title, and specialty.",FALSE,FALSE,TRUE,correct,,
room,ad,a room has an ad,"A course has the course's name, the course's code, the start time, the end time, the days of the courses, the room, and the instructors.",FALSE,FALSE,FALSE,correct,,
room,block information,a room has a block information,"Room have an id, capacity, floor, and block information.",FALSE,FALSE,TRUE,correct,,
room,capacity,a room has a capacity,"Room have an id, capacity, floor, and block information.",FALSE,FALSE,TRUE,correct,,
room,floor,a room has a floor,"Room have an id, capacity, floor, and block information.",FALSE,FALSE,TRUE,correct,,
