source,target,role,generated_sentence,actual_sentence,equality,contradiction,inclusion,answer,kind
airport,flight,myFlight,A airport has a flight,A route is followed by a flight from its origin airport to its destination airport.,FALSE,FALSE,FALSE,correct,association
flight,airport,destination,A flight has a a destination which is an airport,An airline is any direct flight between two airports.,FALSE,FALSE,TRUE,correct,association
airport,flight,myFlight1,A airport has a flight,A route is followed by a flight from its origin airport to its destination airport.,FALSE,FALSE,FALSE,correct,association
flight,flight,myFlight,A flight has a flight,"For each flight, there are several connecting flights (different flights that leave from an intermediate stop close after their arrival).",FALSE,FALSE,FALSE,correct,association
flight,flight,connectingFlights,A flight can have connecting flights ,"For each flight, there are several connecting flights (different flights that leave from an intermediate stop close after their arrival).",FALSE,FALSE,TRUE,correct,association
city,airport,myAirport,A city has an airport,An airline is any direct flight between two airports.,FALSE,FALSE,FALSE,correct,association
order,seat,seats,A order can have seats ,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,TRUE,correct,association
seat,order,myOrder,A seat has an order,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,FALSE,correct,association
order,flight,flights,A order can have flights ,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,TRUE,correct,association
flight,order,myOrder,A flight has an order,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,FALSE,correct,association
customer,order,makes,A customer makes orders ,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,TRUE,correct,association
order,customer,madeBy,A order is made by a customer,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,TRUE,correct,association
hotel,airport,myAirport,A hotel has an airport,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",FALSE,FALSE,FALSE,correct,association
airport,restaurant,nearbyRestaurants,A airport can have nearby restaurants ,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",FALSE,FALSE,TRUE,correct,association
restaurant,airport,myAirport,A restaurant has an airport,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",FALSE,FALSE,FALSE,correct,association
route,span,spans,A route can have spans ,A span is a part of a route from a start airport to a termination airport as part of a specific flight.,FALSE,FALSE,TRUE,correct,association
span,route,myRoute,A span has a route,A span is a part of a route from a start airport to a termination airport as part of a specific flight.,FALSE,FALSE,TRUE,correct,association
span,airport,origian,A span has an an origian which is an airport,The start (or termination) airport is called this span's origin (or destination) airport.,FALSE,FALSE,TRUE,correct,association
airport,span,mySpan,A airport has a span,The start (or termination) airport is called this span's origin (or destination) airport.,FALSE,FALSE,FALSE,correct,association
span,airport,destination,A span has a a destination which is an airport,The start (or termination) airport is called this span's origin (or destination) airport.,FALSE,FALSE,TRUE,correct,association
airport,span,mySpan1,A airport has a span,The start (or termination) airport is called this span's origin (or destination) airport.,FALSE,FALSE,FALSE,correct,association
plane,route,follows,A plane follows routes ,A route is a set of connected basic airlines connecting all the airports through which it passes.,FALSE,FALSE,TRUE,correct,association
route,plane,myPlane,A route has a plane,A route is a set of connected basic airlines connecting all the airports through which it passes.,FALSE,FALSE,TRUE,correct,association
flight,airport,origin,A flight can have origins which are airports,Customers make reservations for specific seats on specific flights and have tickets.,FALSE,FALSE,FALSE,wrong,association
airport,hotel,nearbyHotels,A airport has a nearby hotel ,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",False,True,False,wrong,association
airport,city,nearbyCity,A airport has a nearby city,This information may also include details of the cities nearby.,FALSE,TRUE,FALSE,wrong,association
