,source,target,role,generated_sentence,actual_sentence,equality,contradiction,inclusion,answer,kind
0,flight,airport,origin,A flight has an an origin which is an airport,Customers make reservations for specific seats on specific flights and have tickets.,FALSE,FALSE,FALSE,correct,association
0,airport,flight,myFlight,A airport has a flight,A route is followed by a flight from its origin airport to its destination airport.,FALSE,FALSE,FALSE,correct,association
0,flight,airport,destination,A flight has a a destination which is an airport,An airline is any direct flight between two airports.,FALSE,FALSE,TRUE,correct,association
0,airport,flight,myFlight1,A airport has a flight,A route is followed by a flight from its origin airport to its destination airport.,FALSE,FALSE,FALSE,correct,association
0,flight,flight,myFlight,A flight has a flight,"For each flight, there are several connecting flights (different flights that leave from an intermediate stop close after their arrival).",FALSE,FALSE,FALSE,correct,association
0,flight,flight,connectingFlights,A flight can have connecting flights ,"For each flight, there are several connecting flights (different flights that leave from an intermediate stop close after their arrival).",FALSE,FALSE,TRUE,correct,association
0,airport,city,nearbyCities,A airport can have nearby cities which are cities,An airline is any direct flight between two airports.,FALSE,FALSE,TRUE,correct,association
0,city,airport,myAirport,A city has an airport,An airline is any direct flight between two airports.,FALSE,FALSE,FALSE,correct,association
0,plane,flight,flights,A plane can have flights ,A plane is assigned to a flight containing a set of numbered seats.,FALSE,FALSE,TRUE,correct,association
0,flight,plane,flownBy,A flight is flown by a plane,"Stops are not indicated in the ticket unless the flight number changes, which indicates a plane change.",FALSE,FALSE,TRUE,correct,association
0,order,seat,seats,A order can have seats ,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,TRUE,correct,association
0,seat,order,myOrder,A seat has an order,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,FALSE,correct,association
0,order,flight,flights,A order can have flights ,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,TRUE,correct,association
0,flight,order,myOrder,A flight has an order,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,FALSE,correct,association
0,customer,order,makes,A customer makes orders ,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,TRUE,correct,association
0,order,customer,madeBy,A order is made by a customer,Typically a customer places an order for seats in a combination of connected flights from an origin to a destination airport.,FALSE,FALSE,TRUE,correct,association
0,airport,hotel,nearbyHotels,A airport can have nearby hotels ,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",FALSE,FALSE,TRUE,correct,association
0,hotel,airport,myAirport,A hotel has an airport,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",FALSE,FALSE,FALSE,correct,association
0,airport,restaurant,nearbyRestaurants,A airport can have nearby restaurants ,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",FALSE,FALSE,TRUE,correct,association
0,restaurant,airport,myAirport,A restaurant has an airport,"For the convenience of customers, we may keep information on relevant facilities; for origins, we keep aspects such as parking; for destinations, we list hotels near the airport; for intermediate stops, we provide lists of hotels close to the airport, restaurants,",FALSE,FALSE,FALSE,correct,association
0,route,span,spans,A route can have spans ,A span is a part of a route from a start airport to a termination airport as part of a specific flight.,FALSE,FALSE,TRUE,correct,association
0,span,route,myRoute,A span has a route,A span is a part of a route from a start airport to a termination airport as part of a specific flight.,FALSE,FALSE,TRUE,correct,association
0,span,airport,origian,A span has an an origian which is an airport,The start (or termination) airport is called this span's origin (or destination) airport.,FALSE,FALSE,TRUE,correct,association
0,airport,span,mySpan,A airport has a span,The start (or termination) airport is called this span's origin (or destination) airport.,FALSE,FALSE,FALSE,correct,association
0,span,airport,destination,A span has a a destination which is an airport,The start (or termination) airport is called this span's origin (or destination) airport.,FALSE,FALSE,TRUE,correct,association
0,airport,span,mySpan1,A airport has a span,The start (or termination) airport is called this span's origin (or destination) airport.,FALSE,FALSE,FALSE,correct,association
0,plane,route,follows,A plane follows routes ,A route is a set of connected basic airlines connecting all the airports through which it passes.,FALSE,FALSE,TRUE,correct,association
0,route,plane,myPlane,A route has a plane,A route is a set of connected basic airlines connecting all the airports through which it passes.,FALSE,FALSE,TRUE,correct,association
