,source,target,role,generated_sentence,actual_sentence,equality,contradiction,inclusion,answer,kind
0,customer,delivery order,,A customer can have delivery orders ,"When clients or customers enter the supermarket, see the product wanted in a different group of products, and some employees can help them or orient clients/customers by showing where products are placed.",False,False,True,correct,association
0,customer,invoice,,A customer can have invoices ,"When clients or customers enter the supermarket, see the product wanted in a different group of products, and some employees can help them or orient clients/customers by showing where products are placed.",False,False,True,correct,association
0,invoice,customer,,A invoice has customer,"When clients or customers enter the supermarket, see the product wanted in a different group of products, and some employees can help them or orient clients/customers by showing where products are placed.",False,False,True,correct,association
0,invoice,product,,A invoice can have products ,"When clients or customers enter the supermarket, see the product wanted in a different group of products, and some employees can help them or orient clients/customers by showing where products are placed.",False,False,True,correct,association
0,product,invoice,,A product has invoice,"When clients or customers enter the supermarket, see the product wanted in a different group of products, and some employees can help them or orient clients/customers by showing where products are placed.",False,False,True,correct,association
0,cold chamber,product,contains,A cold chamber can have contains which are products,"When clients or customers enter the supermarket, see the product wanted in a different group of products, and some employees can help them or orient clients/customers by showing where products are placed.",False,False,True,correct,association
0,product,cold chamber,,A product can have cold chambers ,"When clients or customers enter the supermarket, see the product wanted in a different group of products, and some employees can help them or orient clients/customers by showing where products are placed.",False,False,True,correct,association
0,shelf,product,contains,A shelf can have contains which are products,"When clients or customers enter the supermarket, see the product wanted in a different group of products, and some employees can help them or orient clients/customers by showing where products are placed.",False,False,True,correct,association
0,product,shelf,,A product can have shelves ,"When clients or customers enter the supermarket, see the product wanted in a different group of products, and some employees can help them or orient clients/customers by showing where products are placed.",False,False,True,correct,association
0,stock,product,contains,A stock can have contains which are products,They use physical inventory where every product purchased is recorded by using the form of stock.,False,False,True,correct,association
0,product,stock,ProductStock,A product can have product stocks ,"After purchasing a new product or getting the outcome from a supplier, those products are recorded in stock.",False,False,True,correct,association
