source,target,role,generated_sentence,actual_sentence,equality,contradiction,inclusion,answer,kind
flight,airport,origin,A flight can have origins which are airports,Customers make reservations for specific seats on specific flights and have tickets.,FALSE,TRUE,FALSE,inconclusive,association
airport,flight,myFlight,A airport can have flights ,A route is followed by a flight from its origin airport to its destination airport.,FALSE,FALSE,FALSE,inconclusive,association
flight,airport,myFlight,A flight has a a flight which is an airport,A span is a part of a route from a start airport to a termination airport as part of a specific flight.,FALSE,TRUE,FALSE,wrong,association
airport,flight,origin,A airport has an an origin which is a flight,A route is followed by a flight from its origin airport to its destination airport.,FALSE,TRUE,FALSE,wrong,association
flight,airport,destination,A flight can have destinations which are airports,"The information boards in the airports show short information about the flights, as FB073 flight departed at 08:45.",FALSE,TRUE,FALSE,wrong,association
airport,flight,myFlight1,A airport can have flights ,A route is followed by a flight from its origin airport to its destination airport.,FALSE,FALSE,FALSE,inconclusive,association
flight,airport,myFlight1,A flight has a a flight which is an airport,A span is a part of a route from a start airport to a termination airport as part of a specific flight.,FALSE,TRUE,FALSE,wrong,association
airport,flight,destination,A airport has a a destination which is a flight,A route is followed by a flight from its origin airport to its destination airport.,FALSE,TRUE,FALSE,wrong,association
flight,flight,myFlight,A flight can have flights ,"For each flight, there are several connecting flights (different flights that leave from an intermediate stop close after their arrival).",FALSE,TRUE,FALSE,wrong,association
flight,flight,connectingFlights,A flight can have connecting flights ,"For each flight, there are several connecting flights (different flights that leave from an intermediate stop close after their arrival).",FALSE,TRUE,FALSE,wrong,association
airport,city,nearbyCities,A airport can have nearby cities which are cities,A route is a set of connected basic airlines connecting all the airports through which it passes.,FALSE,TRUE,FALSE,wrong,association
city,airport,myAirport,A city can have airports ,A span is a part of a route from a start airport to a termination airport as part of a specific flight.,FALSE,FALSE,TRUE,correct,association
airport,city,myAirport,A airport can have airports which are cities,A route is a set of connected basic airlines connecting all the airports through which it passes.,FALSE,TRUE,FALSE,inconclusive,association
city,airport,nearbyCities,A city has  a nearby city which is an airport,A span is a part of a route from a start airport to a termination airport as part of a specific flight.,FALSE,TRUE,FALSE,wrong,association
plane,flight,flights,A plane can have flights ,A plane is assigned to a flight containing a set of numbered seats.,FALSE,TRUE,FALSE,inconclusive,association
flight,plane,flownBy,A flight is flown by planes ,A plane is assigned to a flight containing a set of numbered seats.,FALSE,TRUE,FALSE,inconclusive,association
